Name,QB WC,RB WC,WR WC,TE WC,QB DR,RB DR,WR DR,TE DR,QB CF,RB CF,WR CF,TE CF,Player 1,Player 2,Player 3
1Herbrumer,Herbert,Barkley,Nacua,Kraft,Goff,Gibbs,McLaurin,Ertz,,,,,,,
bakerbarkley,Daniels,Barkley,McMillan,Kraft,Allen,Cook,Collins,Ertz,Daniels,Eagles,Bills,Kincaid,Hurts,Goedert,Schuster
BassBert,Daniels,Irving,Jefferson,Kincaid,Allen,Gibbs,Williams,Goedert,Daniels,Commanders,Eagles,Kincaid,,,
beastm0de,Herbert,Barkley,Nacua,Kraft,Goff,Gibbs,McLaurin,Ertz,,,,,,,
blackpanda4255,Herbert,Barkley,Nacua,Kraft,,,,,,,,,,,
block_west18,Herbert,Barkley,Nacua,Kraft,Allen,Cook,Williams,Kelce,Daniels,Eagles,Chiefs,Kincaid,Brown,Hunt,Butker
Bummi,Daniels,Irving,Jefferson,Kincaid,Allen,Gibbs,Williams,Ertz,Daniels,Eagles,Chiefs,Kincaid,Brown,Pacheco,Butker
chaefer77,Daniels,Williams,Nacua,Kincaid,Goff,Henry,Smith,,Daniels,Chiefs,Commanders,Ertz,Worthy,Smith,Hunt
copyk,Nix,Barkley,Nacua,Kincaid,Mahomes,Gibbs,Williams,Kelce,Mahomes,Eagles,Commanders,Goedert,Worthy,Hunt,Butker
DanTheMan84,Daniels,Williams,Nacua,Kincaid,Allen,Gibbs,Williams,Goedert,Allen,Commanders,Commanders,Kincaid,Worthy,Hunt,Goedert
Deckhard,Daniels,Irving,Jefferson,Kincaid,Allen,Cook,Collins,Ertz,Allen,Chiefs,Commanders,Goedert,Brown,Hunt,Butker
Effe A.,Daniels,Irving,Jefferson,Kincaid,Mahomes,Henry,Williams,Goedert,Allen,Chiefs,Commanders,Goedert,,,
elpres,Daniels,Williams,Jefferson,Kraft,Goff,Gibbs,Williams,LaPorta,Mahomes,Eagles,Commanders,Goedert,Brown,Hunt,Butker
fa94,Herbert,Barkley,Nacua,Kraft,Goff,Gibbs,McLaurin,Ertz,,,,,,,
fredie_io,Herbert,Barkley,Nacua,Kraft,,,,,,,,,,,
Hans Hansen,Jackson,Irving,Nacua,Kincaid,Allen,Gibbs,Williams,Kelce,Mahomes,Eagles,Commanders,Goedert,Brown,Hunt,Butker
haube37,Nix,Irving,Nacua,Kraft,Allen,Gibbs,Williams,Goedert,Mahomes,Eagles,Commanders,Kincaid,,,
herbstibears,Nix,Irving,Jefferson,Kraft,Stafford,Gibbs,Collins,Kelce,,,,,Worthy,Smith,Butker
Hiase,Daniels,Barkley,Sutton,Kincaid,Mahomes,Henry,Williams,Goedert,Daniels,Chiefs,Eagles,Kincaid,Hunt,Schuster,Butker
Immortellus,Daniels,Barkley,Sutton,Kincaid,Allen,Gibbs,Williams,Ertz,Daniels,Commanders,Bills,Kelce,Worthy,Brown,Hunt
JackPOT,Herbert,Barkley,Nacua,Kraft,Allen,Gibbs,Williams,Goedert,Mahomes,Eagles,Commanders,Goedert,Brown,Hunt,Butker
jans12,Daniels,Irving,Jefferson,Kincaid,Mahomes,Henry,Williams,Goedert,Mahomes,Chiefs,Chiefs,Kelce,Smith,Pacheco,Schuster
KingCookie,Herbert,Barkley,Nacua,Kraft,Allen,Gibbs,Williams,Goedert,Daniels,Eagles,Chiefs,Kincaid,Worthy,Hunt,Butker
kunfc.,Jackson,Williams,Sutton,Kincaid,Mahomes,Gibbs,Collins,Ertz,Mahomes,Eagles,Commanders,Goedert,Worthy,Brown,Goedert
Lambo23,Herbert,Williams,Jefferson,Kraft,Mahomes,Gibbs,Williams,Kelce,Mahomes,Eagles,Commanders,Goedert,Barkley,Goedert,Butker
