name,team,player_position,min_pick,max_pick,avg_pick,pick_count,adp_overall_pick,adp_roundpick
Ja'Marr Chase,CIN,WR,1,4,1.24,37,1,1.1
Bijan Robinson,ATL,RB,1,4,2.24,38,2,1.2
Saquon Barkley,PHI,RB,1,7,3.56,36,3,1.3
Justin Jefferson,MIN,WR,1,8,4.72,36,4,1.4
CeeDee Lamb,DAL,WR,2,8,4.86,37,5,1.5
Jahmyr Gibbs,DET,RB,2,9,5.25,36,6,1.6
Amon-Ra St. Brown,DET,WR,3,15,7.97,35,7,1.7
Christian McCaffrey,SF,RB,3,15,9.67,36,8,1.8
Malik Nabers,NYG,WR,7,15,9.94,33,9,1.9
Puka Nacua,LAR,WR,6,15,10.15,33,10,1.10
Derrick Henry,BAL,RB,5,16,10.29,34,11,1.11
Ashton Jeanty,LV,RB,6,21,11.59,34,12,1.12
Nico Collins,HOU,WR,9,19,12.53,34,13,2.1
Brian Thomas,JAX,WR,7,17,13.36,33,14,2.2
De'Von Achane,MIA,RB,8,22,14.45,33,15,2.3
Drake London,ATL,WR,12,20,15.36,33,16,2.4
Brock Bowers,LV,TE,9,24,18.38,32,17,2.5
A.J. Brown,PHI,WR,9,26,19.16,32,18,2.6
Josh Jacobs,GB,RB,15,24,19.27,33,19,2.7
Chase Brown,CIN,RB,14,28,22.31,32,20,2.8
Ladd McConkey,LAC,WR,17,31,22.59,32,21,2.9
Bucky Irving,TB,RB,16,31,23.09,32,22,2.10
Jonathan Taylor,IND,RB,17,31,23.16,32,23,2.11
Josh Allen,BUF,QB,14,35,24.84,32,24,2.12
Tyreek Hill,MIA,WR,17,39,26.19,31,25,3.1
Kyren Williams,LAR,RB,17,43,26.35,31,26,3.2
Trey McBride,ARI,TE,22,40,27.47,32,27,3.3
Jaxon Smith-Njigba,SEA,WR,18,38,27.73,33,28,3.4
Lamar Jackson,BAL,QB,13,37,28.35,31,29,3.5
Omarion Hampton,LAC,RB,23,40,31.19,31,30,3.6
Tee Higgins,CIN,WR,23,41,31.9,31,31,3.7
James Cook,BUF,RB,27,43,32.68,31,32,3.8
Alvin Kamara,NO,RB,27,44,34.94,31,33,3.9
Kenneth Walker,SEA,RB,26,47,35.9,31,34,3.10
Marvin Harrison,ARI,WR,24,46,36.43,30,35,3.11
