season,name,league_id,draft_id
2025,Stoned Lack Dynastie #1,1209233140317425664,1209233140325826560
2024,Stoned Lack Dynastie #1,1075126001023164416,1075126001023164417
2023,Stoned Lack Dynastie #1,917108984723681280,917108984723681281
2022,Stoned Lack Dynastie #1,785212730322894848,785212730322894849
2021,Stoned Lack Dynastie #1,699704506530758656,699704520665550848
2025,SLL 2 Dynasty,1180230346197667840,1180230346197667841
2024,SLL 2 Dynasty,1051603386442850304,1051603386442850305
2023,SLL 2 Dynasty,918197943163961344,918197943163961345
2022,SLL 2 Dynasty,784357364970229760,784357364970229761
2021,SLL 2 Dynasty,699595670696300544,699595676350255104
2025,Stoned Lack Dynastie 3,1195778937733513216,1195778937746108416
2024,Stoned Lack Dynastie 3,1048238093331042304,1048238093331042305
2023,Stoned Lack Dynastie 3,917439813811318784,917439813811318785
2022,Stoned Lack Dynastie 3,784437396765822976,784437396765822977
2021,Stoned Lack Dynastie 3,699669580909461504,699669582914351104
2025,SLA DYNASTY 4,1209607849928302592,1209607849936691200
2024,SLA DYNASTY 4,1076219332172095488,1076219332172095489
2023,SLA DYNASTY 4,917755454367944704,917755454367944705
2022,SLA DYNASTY 4,802904258008707072,802904258008707073
2021,SLA DYNASTY 4,698302966406377472,698302971460558848
2025,STONED LACK DYNASTY 5,1181844911174176768,1181844911174176769
2024,STONED LACK DYNASTY 5,1053143294668029952,1053143294668029953
2023,STONED LACK DYNASTY 5,920860738699255808,920860738699255809
2022,STONED LACK DYNASTY 5,784443859873767424,784443859873767425
2021,STONED LACK DYNASTY 5,699765402640666624,699765407006949376
2025,StonedLack Dynasty Liga 6 🔥🔥🔥,1180582953490542592,1180582953490542593
2024,StonedLack Dynasty Liga 6 🔥🔥🔥,1048631053662920704,1048631053662920705
2023,StonedLack Dynasty Liga 6 🔥🔥🔥,916708556349665280,916708556349665281
2022,StonedLack Dynasty Liga 6 🔥🔥🔥,784400929607757824,784400929607757825
2021,StonedLack Dynasty Liga 6 🔥🔥🔥,699763686566326272,699763688114065408
2025,Stoned Lack Dynasty 7,1181536975269736448,1181536975269736449
2024,Stoned Lack Dynasty 7,1086037365413478400,1086037365413478401
2023,Stoned Lack Dynasty 7,916267687112839168,916267687112839169
2022,Stoned Lack Dynasty 7,784925787756331008,784925787756331009
2021,Stoned Lack Dynasty 7,699747113688440832,699747117262004224
2025,SLL 8 DYNASTY,1180311821918916608,1180311821918916609
2024,SLL 8 DYNASTY,1049344212866576384,1049344212866576385
2023,SLL 8 DYNASTY,951213579385077760,951213579385077761
2022,SLL 8 DYNASTY,784403833337053184,784403833337053185
2021,SLL 8 DYNASTY,699755610664681472,699755617782427648
2025,Stoned Lack Dynasty League #9 (Let's Go!),1180603162834702336,1180603162834702337
2024,Stoned Lack Dynasty League #9 (Let's Go!),1048538535227244544,1048538535227244545
2023,Stoned Lack Dynasty League #9 (Let's Go!),917899640002420736,917899640002420737
2022,Stoned Lack Dynasty League #9 (Let's Go!),784760879240605696,784760879240605697
2021,Stoned Lack Dynasty League #9 (Let's Go!),699721389237690368,699721395084537856
2025,Stoned Lack Dynasty 10,1187105219732697088,1187105219732697089
