player,status,action,min_price,max_price,avg_price,transactions,owners_bid
Aaron Rodgers,complete,add,0,15,7.666666666666667,3,"['bblaster', 'TobiasHH', 'BigSchroe']"
Alec Pierce,complete,add,0,0,0.0,1,['silas87']
Baltimore Ravens,complete,add,0,7,4.4,5,"['marcoloco', 'Matos1406', 'Kronic1981', 'LeTomster', 'tsgpato']"
Baltimore Ravens,failed,add,0,4,1.8333333333333333,6,"['LeoBenAli', 'Riz1Jets', 'DaveysNation', 'gregor0502', 'Kmakus5', 'Lackomat']"
Bhayshul Tuten,complete,add,0,47,11.454545454545455,11,"['QuadsOfSteel', 'bigbbbo', 'BraveCompanions', 'ColtsFinest', 'DawgPound1948', 'Dene22', 'Sidres98', 'Izzy0922', 'Don1979', 'DonXandl', 'gardoffl']"
Bhayshul Tuten,failed,add,0,32,6.181818181818182,11,"['Gertschmaster', 'TheBostonHoodie', 'BradyGaga92', 'NovaTrace', 'ChrisK86', 'MunichPanther', 'Flo2000', 'XBastiX', 'DerEl', 'Philadeagles92', 'upsidesille']"
Blake Corum,failed,add,0,0,0.0,2,"['marvinchiefsHB', 'Izzy0922']"
Braelon Allen,failed,add,3,10,5.333333333333333,3,"['DonXandl', 'Matze47']"
Braelon Allen,complete,add,6,6,6.0,1,['NovaTrace']
Brenton Strange,complete,add,0,15,6.818181818181818,11,"['PS57', 'USBroncos37', 'simonton18', 'Fritschi75', 'ChrisK86', 'rossi161', 'robertbmd', 'Kickernik', 'LadiesandEdelman19', 'HakanHan', 'Bobo76']"
Brenton Strange,failed,add,0,10,3.1538461538461537,13,"['clockoperator1', 'lorenzseibl', 'EsslingCherrypickers', 'Kingslayer4', 'DJRedhead', 'Silberrucken', 'matsrun', 'nordkurve', 'ZenkP', 'Jay0987', 'chaefer77', 'lupra6']"
Buffalo Bills,complete,add,0,6,2.6666666666666665,3,"['Ruffy1904', 'MvD93', 'jokeraw']"
Cade Otton,complete,add,1,1,1.0,1,['19Loki99']
Caleb Williams,complete,add,0,11,5.5,2,"['RaoulDuke0', 'Manu1990']"
Calvin Austin,failed,add,0,38,7.888888888888889,27,"['Brandi16', 'HarryHu', 'Matos1406', 'MacMike23', 'BillsMafia1990Niko', 'heckm', 'Daydrinkling', 'BraveCompanions', 'simonton18', 'DerEl', 'Wattringer93', 'SkolPro', 'RaoulDuke0', 'mogli4dk', 'chaefer77', 'Gambo07', 'Mo1900', 'EsslingCherrypickers', 'Kingslayer4', 'mohrne', 'GM29', 'DJRedhead', 'Merlyn112', 'DonXandl', 'Luutz', 'Honeybadger2310']"
Calvin Austin,complete,add,0,21,7.722222222222222,18,"['WoizabierSven', 'QuadsOfSteel', 'LeoBenAli', 'Fathinjo40', 'Maxrange092', 'NOLA84', 'PfalzkindBallers85', 'TobiasHH', 'copyK0', 's4msp4de', 'Vic0TP', 'p1ccadilly', 'GreenWolvesB', 'Martin1899', 'derhades1699', 'gardoffl', 'marvhin23', 'Creech3r']"
Cam Little,failed,add,0,0,0.0,1,['GM29']
